Names
Anborn
Angbor
Aragorn
Arod
Arwen
Asfaloth
Angelica Baggins
Dora Baggins
Frodo
Willie Banks
Baranor
Beechbone
Beorn
Beregond
Bergil
Bilbo
Bob
Folco Boffin
Fredegar Bolger
Tom Bombadil
Boromir
Bruno Bracegirdle
Melilot Brandybuck
Meriadoc Brandybuck
Rorimac Brandybuck
Bregalad
Milo Burrows
Barliman Butterbur
Celeborn
Ceorl
Bowman Cotton
Carl Cotton
Rosie Cotton
Tolman Cotton
Wilcombe Cotton
Cirdan
Damrod
Denethor
Derufin
Dervorin
Duilin
Duinhir
Durin’s Bane
Dain
Deagol
Deorwine
Dunhere
Elfhelm
Elladan and Elrohir
Elrond
Eomer
Eowyn
Erestor
Erkenbrand
Faramir
Fastred
Bill Ferny
Fimbrethil
Finglas
Firefoot
Fladrif
Forlong
Galadriel
Galdor
Hamfast Gamgee
Sam
Gamling
Gandalf
Ghan-buri-Ghan
Gildor Inglorion
Gimli
Glorfindel
Gleowine
Gloin
Golasgil
Goldberry
Gollum
Gorbag
Gothmog
Grimbeorn
Grimbold
Grishnakh
Gwaihir
Garulf
Halbarad
Haldir
Harding
Hasufel
Mat Heathertoes
Herefara
Herubrand
Hirluin
Hob Hayward
Hugo Bracegirdle
Hurin
Hama
Imrahil
Ingold
Ioreth
Lagduf
Landroval
Legolas
Lindir
Lugdush
Mablung
Maggot
Mauhur
Meneldor
Mouth of Sauron
Muzgash
Nob
Willow
Noakes
Orophin
Otho Sackville-Baggins
Mrs. Proudfoot
Odo Proudfoot
Sancho Proudfoot
Radagast
Radbug
Rumil
Rumil
Lobelia Sackville Baggins
Lotho Sackville Baggins
Ted Sandyman
Saruman
Shagrat
Shelob
Robin Smallburrow
Snaga
Targon
The King of the Dead
Thranduil
Theoden
Theodred
Adelard Took
Everard Took
Peregrin Took
Treebeard
Daddy Twofoot
Ufthak
Ugluk
Watcher in the Water
Will Whitfoot
Widow Rumble
Windfola
Witch-king of Angmar
Witch-king of Fellbeast
Wormetongue
Widfara
Eothain
Sauron
