Names
Anborn
Angbor
Aragorn_II_Elessar
Arod
Arwen
Asfaloth
Angelica_Baggins
Dora_Baggins
Frodo_Baggins
Willie_Banks
Baranor_(Gondor)
Beechbone
Beorn
Beregond_(Captain)
Bergil
Bilbo_Baggins
Bob
Folco_Boffin
Fredegar_Bolger
Tom_Bombadil
Boromir
Bruno_Bracegirdle
Melilot_Brandybuck
Meriadoc_Brandybuck
Rorimac_Brandybuck
Bregalad
Milo_Burrows
Barliman_Butterbur
Celeborn
Ceorl
Bowman_Cotton
Carl_Cotton
Rosie_Cotton
Tolman_Cotton
Wilcombe_(Jolly)_Cotton
Círdan
Damrod
Denethor_II
Derufin
Dervorin
Duilin
Duinhir
Durin's_Bane
Dáin_II_Ironfoot
Déagol
Déorwine
Dúnhere
Elfhelm
Elladan_and_Elrohir
Elrond
Éomer
Éowyn
Erestor
Erkenbrand
Faramir
Fastred_(Pelennor_Fields)
Bill_Ferny
Fimbrethil
Finglas
Firefoot
Fladrif
Forlong
Galadriel
Galdor_of_the_Havens
Hamfast_Gamgee
Samwise_Gamgee
Gamling
Gandalf
Ghân-buri-Ghân
Gildor_Inglorion
Gimli
Glorfindel
Gléowine
Glóin
Golasgil
Goldberry
Gollum
Gorbag
Gothmog_(Lieutenant_of_Morgul)
Grimbeorn
Grimbold
Grishnákh
Gwaihir
Gárulf
Halbarad
Haldir_(Lorien)
Harding
Hasufel
Mat_Heathertoes
Herefara
Herubrand
Hirluin
Hob_Hayward
Hugo_Bracegirdle
Hurin_(Warden_of_the_Keys)
Háma
Imrahil
Ingold
Ioreth
Lagduf
Landroval
Legolas
Lindir
Lugdush
Mablung_the_Ranger
Farmer_Maggot
Mauhúr
Meneldor
Mouth_of_Sauron
Muzgash
Nob
Old_Man_Willow
Old_Noakes
Orophin
Otho_Sackville-Baggins
Mrs._Proudfoot
Odo_Proudfoot
Sancho_Proudfoot
Radagast
Radbug
Rúmil_(Noldo)
Rúmil_of_Lórien
Lobelia_Sackville-Baggins
Lotho_Sackville-Baggins
Ted_Sandyman
Saruman
Shagrat
Shelob
Robin_Smallburrow
Snaga
Snaga_(Grishnákh's_band)
Targon
The_King_of_the_Dead
Thranduil
Théoden
Théodred
Adelard_Took
Everard_Took
Peregrin_Took
Treebeard
Daddy_Twofoot
Ufthak
Uglúk
Watcher_in_the_Water
Will_Whitfoot
Widow_Rumble
Windfola
Witch-king_of_Angmar
Witch-king's_Fellbeast
Gríma_Wormtongue
Wídfara
Éothain
